time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-14T06:25:09.150Z,32.8761667,-116.2513333,6.747,1.09,ml,22,86,0.03953,0.23,ci,ci37242311,2015-09-14T06:28:57.913Z,"27km ENE of Pine Valley, California",earthquake
2015-09-14T06:23:17.820Z,39.6633,-119.8883,7.69,1.78,ml,14,73.26,0.081,,nn,nn00510505,2015-09-14T06:24:15.207Z,"4km NW of Lemmon Valley, Nevada",earthquake
2015-09-14T06:03:24.000Z,61.1373,-146.9961,8.6,1.6,ml,,,,0.37,ak,ak11701903,2015-09-14T06:11:51.631Z,"34km W of Valdez, Alaska",earthquake
2015-09-14T06:02:55.960Z,38.8414993,-122.8276672,3.03,1.83,md,10,110,0.0416,0.02,nc,nc72525031,2015-09-14T06:04:30.370Z,"9km WNW of Cobb, California",earthquake
2015-09-14T06:01:12.770Z,36.023,-117.7713333,2.802,0.98,ml,7,109,0.005395,0.06,ci,ci37242303,2015-09-14T06:04:56.491Z,"16km NE of Little Lake, California",earthquake
2015-09-14T05:23:47.700Z,33.2513333,-116.3806667,7.21,0.76,ml,25,124,0.0349,0.22,ci,ci37242295,2015-09-14T05:27:43.600Z,"1km SW of Borrego Springs, California",earthquake
2015-09-14T05:08:37.860Z,33.9901667,-116.8293333,15.25,0.73,ml,22,52,0.1359,0.17,ci,ci37242287,2015-09-14T05:12:32.230Z,"8km NNE of Banning, California",earthquake
2015-09-14T05:04:57.000Z,61.0433,-150.5458,16,1.4,ml,,,,0.36,ak,ak11701900,2015-09-14T05:22:28.921Z,"39km WSW of Anchorage, Alaska",earthquake
2015-09-14T04:58:47.360Z,33.6018333,-116.8133333,9.688,0.84,ml,38,47,0.04021,0.13,ci,ci37242279,2015-09-14T05:02:36.653Z,"14km WNW of Anza, California",earthquake
2015-09-14T04:54:15.810Z,33.5136667,-116.4683333,11.013,0.48,ml,19,76,0.03692,0.13,ci,ci37242271,2015-09-14T04:58:01.733Z,"20km ESE of Anza, California",earthquake
2015-09-14T04:43:43.750Z,40.5976677,-124.1031647,17.77,1.82,md,11,188,0.1808,0.07,nc,nc72524981,2015-09-14T04:46:34.810Z,"4km E of Fortuna, California",earthquake
2015-09-14T04:07:53.000Z,61.4098,-150.9887,56.2,2,ml,,,,0.69,ak,ak11701891,2015-09-14T07:18:03.730Z,"56km WSW of Big Lake, Alaska",earthquake
2015-09-14T03:38:14.030Z,33.2525,-116.3951667,7.717,0.53,ml,14,146,0.02418,0.2,ci,ci37242263,2015-09-14T04:29:26.197Z,"2km WSW of Borrego Springs, California",earthquake
2015-09-14T03:33:55.680Z,33.6628333,-116.8236667,16.723,0.93,ml,37,43,0.03844,0.15,ci,ci37242255,2015-09-14T03:37:49.588Z,"11km SE of Valle Vista, California",earthquake
2015-09-14T03:19:40.110Z,-29.8319,-71.4128,23.13,3.8,mb,,132,0.631,1.12,us,us20003j8r,2015-09-14T03:44:09.220Z,"15km NNW of Coquimbo, Chile",earthquake
2015-09-14T03:18:03.620Z,47.5885,-122.27,26.019,1.47,ml,13,99,0.03516,0.23,uw,uw61065042,2015-09-14T04:32:58.320Z,"4km WNW of Mercer Island, Washington",earthquake
2015-09-14T03:08:42.000Z,60.1694,-141.128,0,1.6,ml,,,,0.74,ak,ak11701880,2015-09-14T03:25:01.258Z,"73km E of Cape Yakataga, Alaska",earthquake
2015-09-14T03:05:23.620Z,-5.8012,147.4159,146.46,4.4,mb,,118,9.117,0.93,us,us20003j8q,2015-09-14T03:26:28.738Z,"101km NNW of Finschhafen, Papua New Guinea",earthquake
2015-09-14T02:32:07.000Z,51.3342,-174.1082,4,3.7,ml,,,,0.47,ak,ak11701876,2015-09-14T04:29:02.287Z,"96km S of Atka, Alaska",earthquake
2015-09-14T02:26:21.820Z,33.7576667,-116.9403333,1.098,0.21,ml,8,191,0.07101,0.3,ci,ci37242223,2015-09-14T02:30:19.660Z,"3km ENE of Hemet, California",earthquake
2015-09-14T02:06:24.550Z,36.0731,-97.4507,5,3.1,mb_lg,,134,0.275,0.35,us,us20003j8n,2015-09-14T04:31:05.572Z,"18km NE of Crescent, Oklahoma",earthquake
2015-09-14T02:05:24.330Z,34.1551667,-117.4741667,12.892,0.99,ml,31,51,0.0564,0.18,ci,ci37242215,2015-09-14T02:09:04.394Z,"7km NNW of Fontana, California",earthquake
2015-09-14T01:58:41.840Z,-20.2457,-177.4329,373.28,4.7,mb,,98,4.942,1.2,us,us20003j8m,2015-09-14T02:16:06.147Z,"139km ENE of Ndoi Island, Fiji",earthquake
